Referencia interna;Nombre
060029;Extensor HDMI Hembra a RJ45 Activo [50 Metros]
060113;Extensor HDMI Hembra a RJ45 Activo [60 Metros]
060022;Extensor HDMI Macho a RJ45 Pasivo 2C [30 Metros]
060030;Extensor USB a RJ45 Pasivo [45 Metros]
060091;Extensor VGA a RJ45 Activo [100 Metros]
060031;Extensor VGA a RJ45 Pasivo [60 Metros]
060024;Extensor VGA a RJ45 [Par] Pasivo [30 Metros]
080094;Fuente Centralizada 9 Canales 12V 20Amp
070074;Interruptor Triple Spark Ledplus+
050190;Lampara LED 12W 3000K Luz Calida Redonda Empotrar XTD-12-AMA Littman
050189;Lampara LED 5W Redonda Empotrar Luz Calida 3000K XTD-5-AMA Littman
050183;Lampara LED Lisa 60 Cm 16W 6500K Luz Fria Con 2 Tubos T8 Cristal 8W C/U L1-2X8W-0.6-BL Littman
050141;Lampara Luminaria LED Urbana Alumbrado Publico 100W 6500K Luz Fria GEL
050023;Lampara Panel LED 12W 3000k Luz Calida Cuadrada Empotrar Ledplus+
050156;Lampara Panel LED 24W 4000K Luz Fria Tipo Colmena Redonda Empotrar Ledplus+
050157;Lampara Panel LED 36W 6500K Luz Fria Tipo Colmena Redonda Empotrar Ledplus+
050026;Lampara Panel LED 9W 3000k Luz Calida Cuadrada Empotrar Ledplus+
050140;Lampara Sub-Urbana Con FotoCelda AKSI
020227;Modem ADSL2+ Explore HG-A1101
070236;Pila Litio Maxell CR1220 [Unidad]
080005;Pulpo Spltter 1 Hembra a 4 Macho
080006;Pulpo Spltter 1 Hembra a 8 Macho
050130;Reflector LED 30W 3000K Luz Calida AKSI
050574;Reflector LED Luces de Colores con Control 150W RGB IP66 Multivoltaje 85/277 Volts FHRG-00150 Hammer
050575;Reflector LED Luces de Colores con Control 200W RGB IP66 Multivoltaje 85/277 Volts FHRG-00200 Hammer
060261;Repetidor Señal HDMI Hembra Doble [30 Metros]
070493;T Para Canaleta 100x40 QNET
070492;T Para Canaleta 60x40 QNET
020181;Tapa Rack Ciega 2U Metalnet
020182;Tapa Rack Ciega 3U Metalnet
080011;Transformador 12V 1Amp 1210
070503;Union Empalme Para Canaleta 100x40 QNET
070502;Union Empalme Para Canaleta 60x40 QNET
060046;Union VGA-H Doble 15PIN [10 Unidades]
060154;Union VGA-H Doble 15PIN [Unidad]
010407;Video Balun Pasivo HD 4K [8MP] RJ45 Audio/Video/12V Generico
010406;Video Balun Pasivo HD 4K [8MP] RJ45 Video/12V Generico
010259;Video Balun Pasivo HD Bornera 4K 2K 8MP 4MP 2MP 1080P 720P 400 Metros Generico
010011;Video Balun Pasivo RJ45 Audio/Video/12V Generico
070717;[ Z1200-A] Igoto - Tapa Ciega 4x2 Serie Z [Acrilico]
050238;[100W-B-E40-6.5K] Lucerna - BombilloLED Bulbo Alto Vatiaje 100W 6500K Luz Fria 9000lm Rosca E40
100039;[101S-105S-111S-116L-1610] Maxiprint - Polvo Toner Compatible Samsung Negro [Recarga] 101S 105S 111S 116L 1610
050766;"[1034SCCL -6.5K] Lucerna - Lampara Panel Driver/Integrado LED Compact Lumen 34W 10"" 6500K Luz Fria Cuadrada Superficial"
050762;"[1034SCL -6.5K] Lucerna - Lampara Panel Driver/Integrado LED Compact Lumen 34W 10"" 6500K Luz Fria Redonda Superficial"
060307;[107W] HP - Impresora Laser
020934;[10GMX-FPS02-02B] Siemon - Face Plate Placa Frontal de Pared Modular 10G MAX de 2 Puertos Blanco Versión Bulk Blanco [Sin Empaque Individual]
020928;[10GMX-FPS04-02B] Siemon - Face Plate Placa Frontal de Pared Modular 10G MAX de 4 Puertos Versión Bulk Blanco [Sin Empaque Individual]
050812;"[1224SCCL-6.5K] Lucerna - Lampara Panel Driver/Integrado LED Compact Lumen 24W 10"" 6500K Luz Fria Cuadrada Superficial 2280lm"
050811;"[1224SCL-6.5K] Lucerna - Lampara Panel Driver/Integrado LED Compact Lumen 24W 10"" 6500K Luz Fria Redonda Superficial 2280lm"
100053;[122XL-COLOR] Maxiprint - Cartucho Tinta Color 122XL
100052;[122XL-NEGRO] Maxiprint - Cartucho Tinta Negro 122XL
100038;[12A-15A] Maxiprint - Polvo Toner Compatible HP Negro [Recarga] 12A 15A
070844;[12V18AH] Astra - Bateria Sellada Acido-Plomo 12V 18Ah
070845;[12V5AH] Astra - Bateria Sellada Acido-Plomo 12V 4.5Ah
070846;[12V7AH] Astra - Bateria Sellada Acido-Plomo 12V 7Ah
070847;[12V9AH] Astra - Bateria Sellada Acido-Plomo 12V 9Ah
050229;[12W-B-E27-3K] Lucerna - Bombillo LED Bulbo 12W 3000K Luz Calida 1080lm Rosca E27 A60
050228;[12W-B-E27-6.5K] Lucerna - Bombillo LED Bulbo 12W 6500K Luz Fria 1080lm Rosca E27 A60
050620;[12W-G-E27-3K] Lucerna - Bombillo LED Globo 12W 3000K Luz Calida 1000lm Rosca E27 G95
050619;[12W-G-E27-6.5K] Lucerna - Bombillo LED Globo 12W 6500K Luz Fria 1000lm Rosca E27 G95
060308;[135W] HP - Impresora Laser Multifuncional
050230;[15W-B-E27-6.5K] Lucerna - Bombillo LED Bulbo 15W 6500K Luz Fria 1350lm Rosca E27 A60
050240;[18W-T8-4K] Lucerna - Bombillo LED Tubo T8 18W 4000K Luz Fresca 1620lm 120 cm T8
050239;[18W-T8-6.5K] Lucerna - Bombillo LED Tubo T8 18W 6500K Luz Fria 1620lm 120 cm T8
061339;[200W-PANEL] Pecron - Panel Solar Portátil Aurora200 200W 36V
050646;"[203-3K] Lucerna - Lampara Spot DirigibleLED 3W 2-1/2"" 3000K Luz Calida Redonda Empotrar Borde Blanco 270lm"
